AFN,971
EUR,978
ALL,8
DZD,12
USD,840
EUR,978
AOA,973
XCD,951
XCD,951
ARS,32
AMD,51
AWG,533
AUD,36
EUR,978
AZN,944
BHD,48
BSD,44
BDT,50
BBD,52
BYN,933
EUR,978
BZD,84
XOF,952
BMD,60
INR,356
BTN,64
BOB,68
BOV,984
USD,840
BAM,977
BWP,72
NOK,578
BRL,986
USD,840
BND,96
BGN,975
XOF,952
BIF,108
CVE,132
KHR,116
XAF,950
CAD,124
KYD,136
XAF,950
XAF,950
CLP,152
CLF,990
CNY,156
AUD,36
AUD,36
COP,170
COU,970
KMF,174
CDF,976
XAF,950
NZD,554
CRC,188
XOF,952
HRK,191
CUP,192
CUC,931
ANG,532
EUR,978
CZK,203
DKK,208
DJF,262
XCD,951
DOP,214
USD,840
EGP,818
SVC,222
USD,840
XAF,950
ERN,232
EUR,978
ETB,230
EUR,978
FKP,238
DKK,208
FJD,242
EUR,978
EUR,978
EUR,978
XPF,953
EUR,978
XAF,950
GMD,270
GEL,981
EUR,978
GHS,936
GIP,292
EUR,978
DKK,208
XCD,951
EUR,978
USD,840
GTQ,320
GBP,826
GNF,324
XOF,952
GYD,328
HTG,332
USD,840
AUD,36
EUR,978
HNL,340
HKD,344
HUF,348
ISK,352
INR,356
IDR,360
XDR,960
IRR,364
IQD,368
EUR,978
GBP,826
ILS,376
EUR,978
JMD,388
JPY,392
GBP,826
JOD,400
KZT,398
KES,404
AUD,36
KPW,408
KRW,410
KWD,414
KGS,417
LAK,418
EUR,978
LBP,422
LSL,426
ZAR,710
LRD,430
LYD,434
CHF,756
EUR,978
EUR,978
MOP,446
MKD,807
MGA,969
MWK,454
MYR,458
MVR,462
XOF,952
EUR,978
USD,840
EUR,978
MRO,478
MUR,480
EUR,978
XUA,965
MXN,484
MXV,979
USD,840
MDL,498
EUR,978
MNT,496
EUR,978
XCD,951
MAD,504
MZN,943
MMK,104
NAD,516
ZAR,710
AUD,36
NPR,524
EUR,978
XPF,953
NZD,554
NIO,558
XOF,952
NGN,566
NZD,554
AUD,36
USD,840
NOK,578
OMR,512
PKR,586
USD,840
PAB,590
USD,840
PGK,598
PYG,600
PEN,604
PHP,608
NZD,554
PLN,985
EUR,978
USD,840
QAR,634
EUR,978
RON,946
RUB,643
RWF,646
EUR,978
SHP,654
XCD,951
XCD,951
EUR,978
EUR,978
XCD,951
WST,882
EUR,978
STD,678
SAR,682
XOF,952
RSD,941
SCR,690
SLL,694
SGD,702
ANG,532
XSU,994
EUR,978
EUR,978
SBD,90
SOS,706
ZAR,710
SSP,728
EUR,978
LKR,144
SDG,938
SRD,968
NOK,578
SZL,748
SEK,752
CHF,756
CHE,947
CHW,948
SYP,760
TWD,901
TJS,972
TZS,834
THB,764
USD,840
XOF,952
NZD,554
TOP,776
TTD,780
TND,788
TRY,949
TMT,934
USD,840
AUD,36
UGX,800
UAH,980
AED,784
GBP,826
USD,840
USD,840
USN,997
UYU,858
UYI,940
UZS,860
VUV,548
VEF,937
VND,704
USD,840
USD,840
XPF,953
MAD,504
YER,886
ZMW,967
ZWL,932
XBA,955
XBB,956
XBC,957
XBD,958
XTS,963
XXX,999
XAU,959
XPD,964
XPT,962
XAG,961
AFA,4
FIM,246
ALK,
ADP,20
ESP,724
FRF,250
AOK,
AON,24
AOR,982
ARA,32
ARP,32
ARY,
RUR,810
ATS,40
AYM,945
AZM,31
RUR,810
BYR,974
BYB,112
RUR,810
BEC,993
BEF,56
BEL,992
BOP,
BAD,70
BRB,
BRC,76
BRE,76
BRN,76
BRR,987
BGJ,
BGK,
BGL,100
BUK,
HRD,191
HRK,191
CYP,196
CSJ,
CSK,200
ECS,218
ECV,983
GQE,226
EEK,233
XEU,954
FIM,246
FRF,250
FRF,250
FRF,250
GEK,268
RUR,810
DDM,278
DEM,276
GHC,288
GHP,939
GRD,300
FRF,250
GNE,
GNS,
GWE,
GWP,624
ITL,380
ISJ,
IEP,372
ILP,
ILR,
ITL,380
RUR,810
RUR,810
LAJ,
LVL,428
LVR,428
LSM,
ZAL,991
LTL,440
LTT,440
LUC,989
LUF,442
LUL,988
MGF,450
MWK,454
MVQ,
MLF,466
MTL,470
MTP,
FRF,250
FRF,250
MXP,
RUR,810
FRF,250
MZE,
MZM,508
NLG,528
ANG,532
NIC,
PEN,604
PEH,
PEI,604
PES,604
PLZ,616
PTE,620
FRF,250
ROK,
RON,946
ROL,642
RUR,810
FRF,250
FRF,250
FRF,250
ITL,380
CSD,891
EUR,978
SKK,703
SIT,705
ZAL,991
SDG,938
RHD,
ESA,996
ESB,995
ESP,724
SDD,736
SDP,
SRG,740
CHC,948
RUR,810
TJR,762
IDR,360
TPE,626
TRL,792
TRY,949
RUR,810
TMM,795
UGS,
UGW,
UAK,804
SUR,
USS,998
UYN,
UYP,
RUR,810
VEB,862
VEF,937
VEF,937
VNC,
YDD,720
YUD,
YUM,891
YUN,890
ZRN,180
ZRZ,180
ZMK,894
ZWC,
ZWD,716
ZWD,716
ZWN,942
ZWR,935
